preusuel,dpt,decade,nombre,total_births,rate_per_10k
ALAIN,19,1980,7,21480,3.26
ALAIN,20,1930,10,27652,3.62
ALAIN,20,1940,83,27151,30.57
ALAIN,20,1950,287,25320,113.35
ALAIN,20,1960,271,24160,112.17
ALAIN,20,1970,141,21073,66.91
ALAIN,20,1980,57,21400,26.64
ALAIN,20,1990,31,18967,16.34
ALAIN,20,2000,8,18053,4.43
ALAIN,21,1920,30,44927,6.68
ALAIN,21,1930,200,45388,44.06
ALAIN,21,1940,1276,55753,228.87
ALAIN,21,1950,1808,68195,265.12
ALAIN,21,1960,967,69560,139.02
ALAIN,21,1970,191,65725,29.06
ALAIN,21,1980,41,60902,6.73
ALAIN,21,1990,13,52903,2.46
ALAIN,22,1900,50,73807,6.77
ALAIN,22,1910,43,71024,6.05
ALAIN,22,1920,107,98854,10.82
ALAIN,22,1930,319,83855,38.04
ALAIN,22,1940,1564,87266,179.22
ALAIN,22,1950,2448,90694,269.92
ALAIN,22,1960,1215,77893,155.98
ALAIN,22,1970,183,67921,26.94
ALAIN,22,1980,32,58761,5.45
ALAIN,23,1930,15,21701,6.91
ALAIN,23,1940,389,22157,175.57
ALAIN,23,1950,806,21836,369.12
ALAIN,23,1960,275,15649,175.73
ALAIN,23,1970,30,9950,30.15
ALAIN,24,1900,11,50199,2.19
ALAIN,24,1910,7,41923,1.67
ALAIN,24,1920,36,56779,6.34
ALAIN,24,1930,163,50134,32.51
ALAIN,24,1940,1070,58180,183.91
ALAIN,24,1950,1754,56855,308.5
ALAIN,24,1960,816,45303,180.12
ALAIN,24,1970,115,33311,34.52
ALAIN,24,1980,14,28006,5.0
ALAIN,24,1990,3,23198,1.29
ALAIN,25,1920,12,47642,2.52
ALAIN,25,1930,89,47107,18.89
ALAIN,25,1940,821,55838,147.03
ALAIN,25,1950,1592,67508,235.82
ALAIN,25,1960,1221,79611,153.37
ALAIN,25,1970,259,77394,33.47
ALAIN,25,1980,73,71182,10.26
ALAIN,25,1990,19,59766,3.18
ALAIN,25,2000,3,60105,0.5
ALAIN,26,1920,3,34957,0.86
ALAIN,26,1930,97,31199,31.09
ALAIN,26,1940,1011,40490,249.69
ALAIN,26,1950,1231,47348,259.99
ALAIN,26,1960,682,55032,123.93
ALAIN,26,1970,119,49253,24.16
ALAIN,26,1980,33,45883,7.19
ALAIN,26,1990,7,40689,1.72
ALAIN,27,1920,11,47560,2.31
ALAIN,27,1930,157,46210,33.98
ALAIN,27,1940,1288,56620,227.48
ALAIN,27,1950,1945,68083,285.68
ALAIN,27,1960,838,65215,128.5
ALAIN,27,1970,125,55795,22.4
ALAIN,27,1980,25,50352,4.97
ALAIN,27,1990,3,44747,0.67
ALAIN,28,1920,3,39244,0.76
ALAIN,28,1930,92,37362,24.62
ALAIN,28,1940,947,43565,217.38
ALAIN,28,1950,1495,51952,287.77
ALAIN,28,1960,700,51069,137.07
ALAIN,28,1970,111,47043,23.6
ALAIN,28,1980,21,42705,4.92
ALAIN,28,1990,3,36311,0.83
ALAIN,29,1900,1015,110198,92.11
ALAIN,29,1910,980,105281,93.08
ALAIN,29,1920,1109,133825,82.87
ALAIN,29,1930,940,120149,78.24
ALAIN,29,1940,1505,118061,127.48
ALAIN,29,1950,2380,136735,174.06
ALAIN,29,1960,2171,132715,163.58
ALAIN,29,1970,590,114792,51.4
ALAIN,29,1980,125,101772,12.28
ALAIN,29,1990,21,87528,2.4
ALAIN,30,1920,20,47964,4.17
ALAIN,30,1930,197,43076,45.73
ALAIN,30,1940,1336,56386,236.94
ALAIN,30,1950,1615,62049,260.28
ALAIN,30,1960,1053,64006,164.52
ALAIN,30,1970,204,49758,41.0
ALAIN,30,1980,31,51579,6.01
ALAIN,31,1920,18,52568,3.42
ALAIN,31,1930,137,51350,26.68
ALAIN,31,1940,1837,73562,249.72
ALAIN,31,1950,2577,85354,301.92
ALAIN,31,1960,1733,99902,173.47
ALAIN,31,1970,342,99617,34.33
ALAIN,31,1980,77,98130,7.85
ALAIN,31,1990,26,110367,2.36
ALAIN,31,2000,3,126526,0.24
ALAIN,31,2010,3,133486,0.22
ALAIN,32,1920,3,22147,1.35
ALAIN,32,1930,26,21285,12.22
ALAIN,32,1940,456,25262,180.51
ALAIN,32,1950,889,26609,334.1
ALAIN,32,1960,416,19382,214.63
ALAIN,32,1970,63,11659,54.04
ALAIN,33,1910,13,71381,1.82
ALAIN,33,1920,84,112843,7.44
ALAIN,33,1930,471,101025,46.62
ALAIN,33,1940,3780,128556,294.04
ALAIN,33,1950,4386,151381,289.73
ALAIN,33,1960,1831,150368,121.77
ALAIN,33,1970,397,146682,27.07
ALAIN,33,1980,84,140919,5.96
ALAIN,33,1990,22,133650,1.65
ALAIN,33,2000,8,139687,0.57
ALAIN,33,2010,4,138378,0.29
ALAIN,34,1920,29,64544,4.49
ALAIN,34,1930,287,54703,52.47
ALAIN,34,1940,1544,68232,226.29
ALAIN,34,1950,1863,71134,261.9
ALAIN,34,1960,1275,80527,158.33
ALAIN,34,1970,257,79044,32.51
ALAIN,34,1980,58,84667,6.85
ALAIN,34,1990,39,90672,4.3
ALAIN,35,1900,28,64147,4.36
ALAIN,35,1910,42,62537,6.72
ALAIN,35,1920,150,94366,15.9
ALAIN,35,1930,349,91609,38.1
ALAIN,35,1940,1747,102745,170.03
ALAIN,35,1950,2821,118106,238.85
ALAIN,35,1960,1517,120585,125.8
ALAIN,35,1970,236,113979,20.71
ALAIN,35,1980,55,103460,5.32
ALAIN,35,1990,13,97846,1.33
ALAIN,35,2000,3,108287,0.28
ALAIN,36,1930,78,31140,25.05
ALAIN,36,1940,767,39575,193.81
ALAIN,36,1950,1025,43115,237.74
ALAIN,36,1960,489,37814,129.32
ALAIN,36,1970,59,28023,21.05
ALAIN,36,1980,8,20375,3.93
ALAIN,37,1910,3,31311,0.96
ALAIN,37,1920,23,47012,4.89
ALAIN,37,1930,173,47059,36.76
ALAIN,37,1940,1381,58036,237.96
ALAIN,37,1950,2073,70589,293.67
ALAIN,37,1960,975,71465,136.43
ALAIN,37,1970,179,66507,26.91
ALAIN,37,1980,31,60753,5.1
ALAIN,38,1920,16,73096,2.19
ALAIN,38,1930,231,69529,33.22
ALAIN,38,1940,1891,89907,210.33
ALAIN,38,1950,2410,100662,239.42
ALAIN,38,1960,1537,120500,127.55
